id;course_title;course_description;course_price;course_level
1;lively overfeed;cruelty;31045;BEGINNER
2;plus;rot;4927;ADVANCED
3;though irk;underneath unearth;10263;BEGINNER
4;doting overcharge;cutlet warlike nor;26449;INTERMEDIATE
5;encouragement;helpfully friendly mobilize;5519;NOVICE
6;kiddingly behind;aside march;30440;PROFESSIONAL
7;gah inquisitively;following;11276;ADVANCED
8;sternly caring vice;definite before oh;5868;INTERMEDIATE
9;filter;recent technician besides;4161;ADVANCED
10;woot despite;gee;20319;ADVANCED
